category_id,category_name,url,status_code,content_type,parseable,priority,notes
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Контрудар_под_Сольцами,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Контрудар_под_Старой_Руссой,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Демянская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/4-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/16-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Ельнинская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Рославльско-Новозыбковская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Донбасская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Ростовская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Орловско-Брянская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Вяземская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Можайско-Малоярославецкая_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Калининская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Тульская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Клинско-Солнечногорская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Наро-Фоминская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Тихвинско-Киришская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Мало-Вишерская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/9-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Калининская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Клинско-Солнечногорская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Елецкая_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Тульская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Калужская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Битва_за_Москву#Наро-Фоминско-Боровская_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Керченская_десантная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Феодосийская_десантная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Оборонительная_операция_в_Молдавии,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Оборона_Одессы,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Тирасполь-Мелитопольская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Иранская_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Синявинская_наступательная_операция_(1941),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Сумско-Харьковская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Тихвинская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Крымская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Оборона_Севастополя_(1941—1942),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Сычёвско-Вяземская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/1-я_ударная_армия,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Вяземская_воздушно-десантная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Ржевская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/21-я_армия_(СССР),200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Оборонительное_сражение_на_ближних_подступах_к_Сталинграду_и_в_городе,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Армавиро-Майкопская_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Новороссийская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Моздок-Малгобекская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Туапсинская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Нальчикско-Орджоникидзевская_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Операция_«Уран»,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Котельниковская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Среднедонская_наступательная_операция,200,text/html,requests+bs4,MED,
